cpu_speed_ghz,cpu_cores,ram_gb,storage_type,storage_gb,operating_system,target_use_case,price_usd
2.3,2,8,HDD,128,Chrome OS,Family,674
2.12,2,8,SSD,256,Chrome OS,Family,720
2.67,6,8,SSD,512,MacOS,Business,1103
1.9,4,8,SSD,256,Linux,Business,798
3.25,8,64,Hybrid,1000,Linux,Workstation,2065
2.75,8,64,SSD,512,Linux,Workstation,1771
3.52,8,32,SSD,512,Linux,Gaming,1528
3.27,8,32,SSD,1000,Windows,Workstation,1747
1.8,2,4,HDD,128,Linux,Family,584
2.98,6,16,SSD,512,Windows,Business,1214
2.46,4,4,SSD,128,Linux,Family,750
2.14,2,8,HDD,256,Linux,Family,722
3.43,6,32,Hybrid,1000,Windows,Gaming,1663
2.81,8,16,SSD,512,Windows,Gaming,1297
2.79,4,8,SSD,256,MacOS,Business,887
2.47,6,8,HDD,512,Linux,Business,1083
3.41,6,32,Hybrid,1000,Linux,Gaming,1661
3.7,8,32,Hybrid,1000,Linux,Gaming,1790
2.85,8,64,Hybrid,1000,Windows,Workstation,2025
2.7,8,32,SSD,1000,Windows,Workstation,1690
3.25,8,32,Hybrid,512,Linux,Workstation,1501
2.83,8,32,SSD,512,Linux,Workstation,1459
2.08,2,8,SSD,128,Chrome OS,Family,652
3.11,6,16,Hybrid,1000,Windows,Gaming,1471
3.87,8,16,SSD,512,Linux,Gaming,1403
1.84,4,8,HDD,512,Windows,Business,920
2.82,8,64,Hybrid,1000,Linux,Workstation,2022
3.03,8,32,Hybrid,512,Windows,Workstation,1479
2.0,2,4,SSD,128,Chrome OS,Family,604
2.66,4,8,HDD,512,Windows,Business,1002
2.28,2,8,SSD,256,Windows,Family,736
2.23,2,8,HDD,256,Windows,Family,731
1.82,4,8,HDD,256,Windows,Business,790
2.44,2,8,HDD,256,Linux,Family,752
2.53,8,32,Hybrid,1000,Linux,Gaming,1673
3.02,6,16,Hybrid,512,Linux,Gaming,1218
1.9,4,8,HDD,256,Linux,Business,798
1.91,2,4,HDD,128,Linux,Family,595
3.52,6,16,Hybrid,1000,Linux,Gaming,1512
2.84,8,64,SSD,1000,Linux,Workstation,2024
2.8,8,32,Hybrid,1000,Windows,Gaming,1700
3.0,6,32,Hybrid,1000,Linux,Gaming,1620
3.98,8,32,Hybrid,1000,Windows,Gaming,1818
2.24,4,4,SSD,128,Linux,Family,728
2.22,2,8,HDD,128,Windows,Family,666
3.35,6,32,Hybrid,1000,Windows,Gaming,1655
2.05,4,16,HDD,512,Linux,Business,1021
2.45,4,8,SSD,128,Windows,Family,789
3.61,8,32,Hybrid,512,Linux,Gaming,1537
3.74,6,16,SSD,1000,Windows,Gaming,1534
3.45,8,32,SSD,1000,Linux,Gaming,1765
2.15,4,8,HDD,256,Windows,Family,710
2.68,6,16,SSD,512,MacOS,Business,1140
3.1,8,64,Hybrid,1000,Windows,Workstation,2050
1.85,2,4,HDD,128,Chrome OS,Family,620
3.5,8,32,SSD,512,Linux,Gaming,1530
2.9,6,16,Hybrid,512,Linux,Business,1230
2.2,4,8,SSD,256,Windows,Family,745
3.75,8,64,Hybrid,1000,Linux,Workstation,2105
2.4,4,8,HDD,256,Linux,Family,700
2.95,8,32,SSD,512,Windows,Gaming,1480
1.9,2,8,HDD,128,Linux,Family,635
3.3,6,16,SSD,512,Windows,Business,1200
2.75,8,32,Hybrid,512,Linux,Gaming,1540
2.6,4,8,SSD,256,Windows,Family,770
3.4,8,64,Hybrid,1000,Linux,Workstation,2035
2.05,2,4,HDD,128,Chrome OS,Family,615
3.6,8,32,SSD,1000,Linux,Gaming,1720
2.5,4,8,HDD,256,Linux,Family,710
3.25,6,32,Hybrid,512,Windows,Gaming,1600
2.35,4,16,SSD,256,Linux,Business,890
3.55,8,64,SSD,1000,Linux,Workstation,2075
2.0,2,8,HDD,128,Windows,Family,640
3.8,8,32,Hybrid,1000,Linux,Gaming,1800
2.7,6,16,SSD,512,Windows,Business,1195
2.3,4,8,SSD,256,Linux,Family,735
3.15,8,32,SSD,512,Windows,Gaming,1505
1.95,2,4,HDD,128,Chrome OS,Family,610
2.85,8,32,Hybrid,512,Linux,Workstation,1550
2.45,4,8,SSD,256,Windows,Family,765
3.7,8,64,Hybrid,1000,Windows,Workstation,2120
2.55,6,16,HDD,512,Linux,Business,1010
2.1,2,8,SSD,256,Chrome OS,Family,685
3.05,8,32,SSD,512,Linux,Gaming,1485
2.65,4,8,HDD,256,Windows,Family,740
3.9,8,64,Hybrid,1000,Linux,Workstation,2150
2.0,2,4,SSD,128,Chrome OS,Family,620
3.35,6,32,SSD,512,Windows,Gaming,1630
2.25,4,8,HDD,256,Linux,Family,710
3.55,8,32,Hybrid,1000,Linux,Gaming,1725
2.8,6,16,SSD,512,Windows,Business,1180
2.4,4,8,SSD,256,Linux,Family,750
3.6,8,64,Hybrid,1000,Linux,Workstation,2095
1.9,2,4,HDD,128,Chrome OS,Family,600
3.2,6,32,Hybrid,512,Linux,Gaming,1580
2.5,4,8,SSD,256,Windows,Family,770
3.45,8,32,SSD,1000,Linux,Gaming,1750
2.15,2,8,HDD,128,Windows,Family,675
3.0,6,16,SSD,512,MacOS,Business,1150
3.8,8,64,Hybrid,1000,Linux,Workstation,2130
2.1,4,8,HDD,256,Linux,Family,700
2.9,6,16,SSD,512,Windows,Business,1215
3.3,8,32,Hybrid,1000,Linux,Gaming,1685
2.0,2,8,HDD,128,Chrome OS,Family,630
3.7,8,64,SSD,1000,Linux,Workstation,2100
2.6,4,8,SSD,256,Windows,Family,760
3.15,6,32,Hybrid,512,Linux,Gaming,1595
2.25,4,8,HDD,256,Linux,Family,725
3.5,8,32,SSD,512,Windows,Gaming,1540
1.85,2,4,HDD,128,Chrome OS,Family,605
2.8,6,16,Hybrid,512,Linux,Business,1190
3.45,8,64,Hybrid,1000,Windows,Workstation,2075
2.1,2,8,SSD,256,Linux,Family,690
3.65,8,32,SSD,1000,Linux,Gaming,1770
2.5,4,8,HDD,256,Windows,Family,745
3.0,6,16,SSD,512,Linux,Business,1175
2.35,4,8,SSD,256,Linux,Family,740
3.55,8,64,Hybrid,1000,Linux,Workstation,2085
2.0,2,4,HDD,128,Chrome OS,Family,615
3.8,8,32,SSD,512,Windows,Gaming,1785
2.7,6,16,Hybrid,512,Linux,Business,1210
2.3,4,8,SSD,256,Linux,Family,735
3.2,8,32,SSD,512,Linux,Gaming,1635
1.9,2,8,HDD,128,Chrome OS,Family,625
2.85,8,64,Hybrid,1000,Linux,Workstation,2045
2.4,4,8,SSD,256,Windows,Family,755
3.65,8,32,Hybrid,1000,Linux,Gaming,1735
2.55,6,16,SSD,512,Windows,Business,1195
2.1,4,8,HDD,256,Linux,Family,720
3.4,8,64,Hybrid,1000,Linux,Workstation,2060
2.0,2,4,SSD,128,Chrome OS,Family,610
3.3,6,32,Hybrid,512,Windows,Gaming,1605
2.5,4,8,SSD,256,Linux,Family,765
3.7,8,32,SSD,1000,Linux,Gaming,1780
2.15,2,8,HDD,128,Windows,Family,670
3.05,6,16,SSD,512,MacOS,Business,1145
3.8,8,64,Hybrid,1000,Linux,Workstation,2135
2.2,4,8,HDD,256,Linux,Family,705
2.95,6,16,SSD,512,Windows,Business,1225
3.35,8,32,Hybrid,1000,Linux,Gaming,1700
2.05,2,8,HDD,128,Chrome OS,Family,635
3.75,8,64,SSD,1000,Linux,Workstation,2125
2.65,4,8,SSD,256,Windows,Family,780
3.1,6,32,Hybrid,512,Linux,Gaming,1605
2.3,4,8,HDD,256,Linux,Family,735
3.6,8,32,SSD,512,Windows,Gaming,1550
1.9,2,4,HDD,128,Chrome OS,Family,615
2.85,6,16,Hybrid,512,Linux,Business,1200
3.5,8,64,Hybrid,1000,Windows,Workstation,2090
2.15,2,8,SSD,256,Linux,Family,690
3.7,8,32,SSD,1000,Linux,Gaming,1790
2.55,4,8,HDD,256,Windows,Family,755
3.05,6,16,SSD,512,Linux,Business,1185
2.4,4,8,SSD,256,Linux,Family,740
3.6,8,64,Hybrid,1000,Linux,Workstation,2100
2.05,2,4,HDD,128,Chrome OS,Family,620
3.85,8,32,SSD,512,Windows,Gaming,1800
2.75,6,16,Hybrid,512,Linux,Business,1220
2.35,4,8,SSD,256,Linux,Family,735
3.25,8,32,SSD,512,Linux,Gaming,1650
1.95,2,8,HDD,128,Chrome OS,Family,630
2.9,8,64,Hybrid,1000,Linux,Workstation,2065
2.45,4,8,SSD,256,Windows,Family,765
3.7,8,32,Hybrid,1000,Linux,Gaming,1740
2.6,6,16,SSD,512,Windows,Business,1205
2.15,4,8,HDD,256,Linux,Family,715
3.45,8,64,Hybrid,1000,Linux,Workstation,2085
2.05,2,4,SSD,128,Chrome OS,Family,615
3.3,6,32,Hybrid,512,Linux,Gaming,1615
2.55,4,8,SSD,256,Windows,Family,775
3.55,8,32,SSD,1000,Linux,Gaming,1760
2.2,2,8,HDD,128,Windows,Family,675
3.0,6,16,SSD,512,MacOS,Business,1160
3.9,8,64,Hybrid,1000,Linux,Workstation,2150
2.25,4,8,HDD,256,Linux,Family,720
3.1,6,16,SSD,512,Windows,Business,1230
3.4,8,32,Hybrid,1000,Linux,Gaming,1715
2.0,2,8,HDD,128,Chrome OS,Family,640
3.8,8,64,SSD,1000,Linux,Workstation,2135
2.5,4,8,SSD,256,Windows,Family,770
3.2,6,32,Hybrid,512,Linux,Gaming,1625
2.3,4,8,HDD,256,Linux,Family,735
3.55,8,32,SSD,512,Windows,Gaming,1560
1.85,2,4,HDD,128,Chrome OS,Family,610
2.9,6,16,Hybrid,512,Linux,Business,1205
